Município;Assistência_Médica;Excl._Odontológico;Total
330415 Quissamã;1479;679;2158
330420 Resende;36362;16076;52438
330430 Rio Bonito;7957;2904;10861
330440 Rio Claro;9968;555;10523
330450 Rio das Flores;654;676;1330
330452 Rio das Ostras;23541;8630;32171
330455 Rio de Janeiro;3154283;823031;3977314
330460 Santa Maria Madalena;784;326;1110
330470 Santo Antônio de Pádua;4771;331;5102
330480 São Fidélis;3429;667;4096
330475 São Francisco de Itabapoana;1182;206;1388
330490 São Gonçalo;234329;66488;300817
330500 São João da Barra;2330;486;2816
330510 São João de Meriti;82384;31409;113793
330513 São José de Ubá;213;33;246
330515 São José do Vale do Rio Preto;1356;348;1704
330520 São Pedro da Aldeia;9590;1672;11262
330530 São Sebastião do Alto;349;9;358
330540 Sapucaia;2118;153;2271
330550 Saquarema;7424;1464;8888
330555 Seropédica;8688;669;9357
330560 Silva Jardim;979;432;1411
330570 Sumidouro;414;50;464
330575 Tanguá;1625;802;2427
330580 Teresópolis;39415;8412;47827
330590 Trajano de Moraes;421;80;501
330600 Três Rios;13171;3144;16315
330610 Valença;9754;667;10421
330615 Varre-Sai;317;49;366
330620 Vassouras;4244;726;4970
330630 Volta Redonda;110236;13145;123381
330000 Município ignorado - RJ;18838;60235;79073
350010 Adamantina;5932;820;6752
350020 Adolfo;377;19;396
350030 Aguaí;6205;489;6694
350040 Águas da Prata;1340;325;1665
350050 Águas de Lindóia;2204;78;2282
350055 Águas de Santa Bárbara;707;383;1090
350060 Águas de São Pedro;1290;292;1582
350070 Agudos;5723;1447;7170
350075 Alambari;418;186;604
350080 Alfredo Marcondes;804;8;812
350090 Altair;232;17;249
350100 Altinópolis;1790;369;2159
350110 Alto Alegre;253;12;265
350115 Alumínio;14330;374;14704
350120 Álvares Florence;241;33;274
350130 Álvares Machado;4372;243;4615
350140 Álvaro de Carvalho;101;19;120
350150 Alvinlândia;90;2;92
350160 Americana;112690;30501;143191
350170 Américo Brasiliense;14347;1111;15458
350180 Américo de Campos;504;39;543
350190 Amparo;26787;6209;32996
350200 Analândia;441;39;480
350210 Andradina;9860;606;10466
350220 Angatuba;2679;816;3495
350230 Anhembi;162;29;191
350240 Anhumas;545;13;558
350250 Aparecida;6194;380;6574
350260 Aparecida d'Oeste;232;30;262
350270 Apiaí;1148;847;1995
350275 Araçariguama;4708;1623;6331
350280 Araçatuba;43232;4358;47590
350290 Araçoiaba da Serra;4527;435;4962
350300 Aramina;600;74;674
350310 Arandu;183;188;371
350315 Arapeí;67;19;86
350320 Araraquara;108162;21092;129254
350330 Araras;51987;10582;62569
350335 Arco-Íris;27;2;29
350340 Arealva;591;23;614
350350 Areias;240;53;293
350360 Areiópolis;2308;59;2367
350370 Ariranha;1977;148;2125
350380 Artur Nogueira;13494;3731;17225
350390 Arujá;30201;4653;34854
350395 Aspásia;59;7;66
350400 Assis;17258;1236;18494
350410 Atibaia;56892;7178;64070
350420 Auriflama;2451;120;2571
350430 Avaí;416;18;434
350440 Avanhandava;780;126;906
350450 Avaré;12399;10178;22577
350460 Bady Bassitt;3734;758;4492
350470 Balbinos;192;47;239
350480 Bálsamo;1987;165;2152
350490 Bananal;1082;51;1133
350500 Barão de Antonina;40;6;46
350510 Barbosa;309;30;339
350520 Bariri;5362;48;5410
350530 Barra Bonita;5164;200;5364
350535 Barra do Chapéu;42;2;44
350540 Barra do Turvo;94;10;104
350550 Barretos;29655;3443;33098
350560 Barrinha;10887;878;11765
350570 Barueri;140403;409646;550049
350580 Bastos;2085;45;2130
350590 Batatais;13077;1130;14207
350600 Bauru;131088;12286;143374
350610 Bebedouro;30521;8474;38995
350620 Bento de Abreu;75;12;87
350630 Bernardino de Campos;715;67;782
350635 Bertioga;7001;875;7876
350640 Bilac;653;26;679
350650 Birigui;19330;710;20040
350660 Biritiba-Mirim;3323;464;3787
350670 Boa Esperança do Sul;1736;80;1816
350680 Bocaina;752;43;795
350690 Bofete;803;295;1098
350700 Boituva;15892;1285;17177
350710 Bom Jesus dos Perdões;3587;369;3956
350715 Bom Sucesso de Itararé;31;315;346
350720 Borá;97;2;99
350730 Boracéia;294;115;409
350740 Borborema;1756;22;1778
350745 Borebi;201;7;208
350750 Botucatu;35465;12784;48249
350760 Bragança Paulista;52105;6134;58239
350770 Braúna;272;60;332
350775 Brejo Alegre;160;1609;1769
350780 Brodowski;4756;1011;5767
350790 Brotas;3539;151;3690
350800 Buri;629;95;724
350810 Buritama;1833;92;1925
350820 Buritizal;1545;31;1576
350830 Cabrália Paulista;309;15;324
350840 Cabreúva;13283;1481;14764
350850 Caçapava;32940;16225;49165
350860 Cachoeira Paulista;6836;945;7781
350870 Caconde;3012;76;3088
350880 Cafelândia;3409;1113;4522
350890 Caiabu;148;7;155
350900 Caieiras;35677;5270;40947
350910 Caiuá;181;17;198
350920 Cajamar;28684;7853;36537
350925 Cajati;4312;1883;6195
350930 Cajobi;1448;37;1485
350940 Cajuru;4418;148;4566
350945 Campina do Monte Alegre;1471;70;1541
350950 Campinas;541430;159218;700648
350960 Campo Limpo Paulista;27002;10336;37338
350970 Campos do Jordão;7637;1729;9366
350980 Campos Novos Paulista;110;4;114
350990 Cananéia;604;33;637
350995 Canas;319;98;417
351000 Cândido Mota;2112;74;2186
351010 Cândido Rodrigues;658;15;673
351015 Canitar;420;68;488
351020 Capão Bonito;3045;400;3445
351030 Capela do Alto;1324;235;1559
351040 Capivari;18310;3858;22168
351050 Caraguatatuba;21277;4739;26016
351060 Carapicuíba;130074;27303;157377
351070 Cardoso;847;116;963
351080 Casa Branca;5560;273;5833
351090 Cássia dos Coqueiros;157;1;158
351100 Castilho;2749;30;2779
351110 Catanduva;38635;11017;49652
351120 Catiguá;3080;498;3578
351130 Cedral;1892;204;2096
351140 Cerqueira César;1446;505;1951
351150 Cerquilho;11487;2541;14028
351160 Cesário Lange;1458;205;1663
351170 Charqueada;4759;2678;7437
355720 Chavantes;1336;60;1396
351190 Clementina;307;13;320
351200 Colina;4147;408;4555
351210 Colômbia;867;34;901
351220 Conchal;5281;733;6014
351230 Conchas;816;87;903
351240 Cordeirópolis;7979;585;8564
351250 Coroados;473;17;490
351260 Coronel Macedo;98;4;102
351270 Corumbataí;809;135;944
351280 Cosmópolis;18718;7634;26352
351290 Cosmorama;823;125;948
351300 Cotia;73243;17558;90801
351310 Cravinhos;11574;2120;13694
351320 Cristais Paulista;1320;30;1350
351330 Cruzália;84;15;99
351340 Cruzeiro;38801;2889;41690
351350 Cubatão;65456;14851;80307
351360 Cunha;647;36;683
351370 Descalvado;8148;2128;10276
351380 Diadema;189748;38060;227808
351385 Dirce Reis;102;11;113
351390 Divinolândia;1057;34;1091
351400 Dobrada;2250;96;2346
351410 Dois Córregos;3255;77;3332
351420 Dolcinópolis;87;23;110
351430 Dourado;856;314;1170
351440 Dracena;8128;126;8254
351450 Duartina;1827;41;1868
351460 Dumont;3006;675;3681
351470 Echaporã;827;16;843
351480 Eldorado;816;28;844
351490 Elias Fausto;3826;777;4603
351492 Elisiário;640;87;727
351495 Embaúba;404;28;432
351500 Embu;63803;11742;75545
351510 Embu-Guaçu;9612;2523;12135
351512 Emilianópolis;276;9;285
351515 Engenheiro Coelho;2240;165;2405
351518 Espírito Santo do Pinhal;18409;427;18836
351519 Espírito Santo do Turvo;52;23;75
355730 Estiva Gerbi;2770;524;3294
351520 Estrela d'Oeste;517;703;1220
351530 Estrela do Norte;802;8;810
351535 Euclides da Cunha Paulista;216;17;233
351540 Fartura;616;48;664
351560 Fernando Prestes;1562;23;1585
351550 Fernandópolis;14328;7907;22235
351565 Fernão;18;1;19
351570 Ferraz de Vasconcelos;30921;4417;35338
351580 Flora Rica;75;3;78
351590 Floreal;655;17;672
351600 Flórida Paulista;366;29;395
351610 Florínia;59;4;63
351620 Franca;104903;11022;115925
351630 Francisco Morato;26732;3679;30411
351640 Franco da Rocha;31907;4531;36438
351650 Gabriel Monteiro;145;2;147
351660 Gália;576;12;588
351670 Garça;5047;176;5223
351680 Gastão Vidigal;573;34;607
351685 Gavião Peixoto;1222;160;1382
351690 General Salgado;1950;66;2016
351700 Getulina;2121;611;2732
351710 Glicério;445;13;458
351720 Guaiçara;3371;1588;4959
351730 Guaimbê;821;251;1072
351740 Guaíra;9453;2976;12429
351750 Guapiaçu;4531;702;5233
351760 Guapiara;244;36;280
351770 Guará;7155;1181;8336
351780 Guaraçaí;645;25;670
351790 Guaraci;1424;45;1469
351800 Guarani d'Oeste;74;28;102
351810 Guarantã;631;78;709
351820 Guararapes;2878;171;3049
351830 Guararema;4979;1782;6761
351840 Guaratinguetá;26707;3652;30359
351850 Guareí;331;34;365
351860 Guariba;15795;929;16724
351870 Guarujá;99494;14796;114290
351880 Guarulhos;517082;102542;619624
351885 Guatapará;1374;248;1622
351890 Guzolândia;763;12;775
351900 Herculândia;594;22;616
351905 Holambra;3411;465;3876
351907 Hortolândia;48723;16892;65615
351910 Iacanga;822;104;926
351920 Iacri;366;13;379
351925 Iaras;331;362;693
351930 Ibaté;5753;760;6513
351940 Ibirá;1606;74;1680
351950 Ibirarema;454;28;482
351960 Ibitinga;12532;2548;15080
351970 Ibiúna;7142;597;7739
351980 Icém;1353;53;1406
351990 Iepê;803;48;851
352000 Igaraçu do Tietê;1497;33;1530
352010 Igarapava;6075;620;6695
352020 Igaratá;823;55;878
352030 Iguape;2361;46;2407
352042 Ilha Comprida;428;40;468
352044 Ilha Solteira;6922;2156;9078
352040 Ilhabela;2325;130;2455
352050 Indaiatuba;77493;29829;107322
352060 Indiana;587;16;603
352070 Indiaporã;349;71;420
352080 Inúbia Paulista;191;7;198
352090 Ipaussu;2801;48;2849
352100 Iperó;4831;160;4991
352110 Ipeúna;1638;162;1800
352115 Ipiguá;543;94;637
352120 Iporanga;144;7;151
352130 Ipuã;4531;1582;6113
352140 Iracemápolis;10501;838;11339
352150 Irapuã;446;14;460
352160 Irapuru;704;22;726
352170 Itaberá;355;89;444
352180 Itaí;1432;566;1998
352190 Itajobi;2125;153;2278
352200 Itaju;169;17;186
352210 Itanhaém;11964;1297;13261
352215 Itaóca;58;1;59
352220 Itapecerica da Serra;33444;8675;42119
352230 Itapetininga;24069;3713;27782
352240 Itapeva;10805;3727;14532
352250 Itapevi;48635;11020;59655
352260 Itapira;18330;2785;21115
352265 Itapirapuã Paulista;62;6;68
352270 Itápolis;5465;341;5806
352280 Itaporanga;433;46;479
352290 Itapuí;810;24;834
352300 Itapura;280;29;309
352310 Itaquaquecetuba;70220;9069;79289
352320 Itararé;2357;236;2593
352330 Itariri;1429;139;1568
352340 Itatiba;37329;5409;42738
352350 Itatinga;2763;812;3575
352360 Itirapina;1706;382;2088
352370 Itirapuã;806;13;819
352380 Itobi;1312;214;1526
352390 Itu;59995;10250;70245
352400 Itupeva;17568;2944;20512
352410 Ituverava;10246;2640;12886
352420 Jaborandi;990;46;1036
352430 Jaboticabal;35197;6602;41799
352440 Jacareí;88356;30595;118951
352450 Jaci;1864;105;1969
352460 Jacupiranga;1384;90;1474
352470 Jaguariúna;15216;5217;20433
352480 Jales;6938;1212;8150
352490 Jambeiro;2200;374;2574
352500 Jandira;32345;7541;39886
352510 Jardinópolis;10884;2114;12998
352520 Jarinu;4224;470;4694
352530 Jaú;21014;916;21930
352540 Jeriquara;424;25;449
352550 Joanópolis;1833;45;1878
352560 João Ramalho;959;2;961
352570 José Bonifácio;6597;532;7129
352580 Júlio Mesquita;231;21;252
352585 Jumirim;367;153;520
352590 Jundiaí;239183;56485;295668
352600 Junqueirópolis;2054;37;2091
352610 Juquiá;1497;38;1535
352620 Juquitiba;2187;223;2410
352630 Lagoinha;189;33;222
352640 Laranjal Paulista;5266;2302;7568
352650 Lavínia;323;20;343
352660 Lavrinhas;905;87;992
352670 Leme;29046;2532;31578
352680 Lençóis Paulista;22909;1834;24743
352690 Limeira;112970;19735;132705
352700 Lindóia;438;26;464
352710 Lins;37799;14537;52336
352720 Lorena;22101;6119;28220
352725 Lourdes;244;5;249
352730 Louveira;15564;4652;20216
352740 Lucélia;1266;48;1314
352750 Lucianópolis;106;0;106
352760 Luís Antônio;1595;481;2076
352770 Luiziânia;169;18;187
352780 Lupércio;218;12;230
352790 Lutécia;102;4;106
352800 Macatuba;2493;403;2896
352810 Macaubal;1168;127;1295
352820 Macedônia;190;245;435
352830 Magda;414;15;429
352840 Mairinque;15631;1679;17310
352850 Mairiporã;18186;2416;20602
352860 Manduri;378;136;514
352870 Marabá Paulista;135;6;141
352880 Maracaí;587;39;626
352885 Marapoama;343;96;439
352890 Mariápolis;100;4;104
352900 Marília;67757;8655;76412
352910 Marinópolis;53;7;60
352920 Martinópolis;2758;97;2855
352930 Matão;35964;4673;40637
352940 Mauá;173174;33563;206737
352950 Mendonça;615;34;649
352960 Meridiano;460;216;676
352965 Mesópolis;69;13;82
352970 Miguelópolis;2435;185;2620
352980 Mineiros do Tietê;672;15;687
353000 Mira Estrela;174;100;274
352990 Miracatu;889;20;909
353010 Mirandópolis;2484;93;2577
353020 Mirante do Paranapanema;1386;93;1479
353030 Mirassol;17530;2171;19701
353040 Mirassolândia;417;49;466
353050 Mococa;23697;1289;24986
353060 Mogi das Cruzes;142092;33242;175334
353070 Mogi Guaçu;57357;8543;65900
353080 Moji Mirim;29270;5115;34385
353090 Mombuca;608;226;834
353100 Monções;406;26;432
353110 Mongaguá;5875;535;6410
353120 Monte Alegre do Sul;1234;204;1438
353130 Monte Alto;22707;4565;27272
353140 Monte Aprazível;5799;603;6402
353150 Monte Azul Paulista;5407;627;6034
353160 Monte Castelo;408;18;426
353180 Monte Mor;12166;3223;15389
353170 Monteiro Lobato;380;198;578
353190 Morro Agudo;8969;327;9296
353200 Morungaba;3536;94;3630
353205 Motuca;1780;142;1922
353210 Murutinga do Sul;339;18;357
353215 Nantes;129;8;137
353220 Narandiba;901;67;968
353230 Natividade da Serra;257;67;324
353240 Nazaré Paulista;1393;67;1460
353250 Neves Paulista;2368;191;2559
353260 Nhandeara;2315;139;2454
353270 Nipoã;577;15;592
353280 Nova Aliança;867;65;932
353282 Nova Campina;575;27;602
353284 Nova Canaã Paulista;29;2;31
353286 Nova Castilho;114;0;114
353290 Nova Europa;4174;87;4261
353300 Nova Granada;3400;922;4322
353310 Nova Guataporanga;127;3;130
353320 Nova Independência;583;22;605
353330 Nova Luzitânia;293;56;349
353340 Nova Odessa;28697;4695;33392
353325 Novais;462;66;528
353350 Novo Horizonte;6614;224;6838
353360 Nuporanga;2346;56;2402
353370 Ocauçu;270;21;291
353380 Óleo;84;16;100
353390 Olímpia;15559;1668;17227
353400 Onda Verde;866;314;1180
353410 Oriente;1727;77;1804
353420 Orindiúva;4384;27;4411
353430 Orlândia;22025;4267;26292
353440 Osasco;326263;101670;427933
353450 Oscar Bressane;210;8;218
353460 Osvaldo Cruz;6662;181;6843
353470 Ourinhos;17995;1428;19423
353480 Ouro Verde;434;16;450
353475 Ouroeste;701;304;1005
353490 Pacaembu;725;29;754
353500 Palestina;1905;297;2202
353510 Palmares Paulista;4152;1324;5476
353520 Palmeira d'Oeste;451;24;475
353530 Palmital;1462;58;1520
353540 Panorama;807;29;836
353550 Paraguaçu Paulista;4260;95;4355
353560 Paraibuna;2596;603;3199
353570 Paraíso;1575;270;1845
353580 Paranapanema;1258;172;1430
353590 Paranapuã;155;19;174
353600 Parapuã;2045;12;2057
353610 Pardinho;288;135;423
353620 Pariquera-Açu;1102;94;1196
353625 Parisi;209;24;233
353630 Patrocínio Paulista;2166;52;2218
353640 Paulicéia;201;2;203
353650 Paulínia;32451;13636;46087
353657 Paulistânia;31;2;33
353660 Paulo de Faria;1345;102;1447
353670 Pederneiras;10222;1028;11250
353680 Pedra Bela;397;14;411
353690 Pedranópolis;374;90;464
353700 Pedregulho;3149;120;3269
353710 Pedreira;11280;1386;12666
353715 Pedrinhas Paulista;264;5;269
353720 Pedro de Toledo;856;53;909
353730 Penápolis;10198;1268;11466
353740 Pereira Barreto;4158;148;4306
353750 Pereiras;247;150;397
353760 Peruíbe;10284;1216;11500
353770 Piacatu;476;15;491
353780 Piedade;4236;853;5089
353790 Pilar do Sul;1297;54;1351
353800 Pindamonhangaba;41904;10752;52656
353810 Pindorama;3913;712;4625
353820 Pinhalzinho;2080;243;2323
353830 Piquerobi;333;16;349
353850 Piquete;2396;374;2770
353860 Piracaia;5191;263;5454
353870 Piracicaba;181815;59253;241068
353880 Piraju;2813;851;3664
353890 Pirajuí;3947;1012;4959
353900 Pirangi;1765;52;1817
353910 Pirapora do Bom Jesus;2418;531;2949
353920 Pirapozinho;5106;413;5519
353930 Pirassununga;21573;7253;28826
353940 Piratininga;2413;157;2570
353950 Pitangueiras;12499;3229;15728
353960 Planalto;621;103;724
353970 Platina;300;11;311
353980 Poá;31460;6402;37862
353990 Poloni;1073;42;1115
354000 Pompéia;8901;101;9002
354010 Pongaí;615;28;643
354020 Pontal;12992;2423;15415
354025 Pontalinda;75;10;85
354030 Pontes Gestal;714;7;721
354040 Populina;183;27;210
354050 Porangaba;425;44;469
354060 Porto Feliz;10694;1279;11973
354070 Porto Ferreira;23994;2941;26935
354075 Potim;749;86;835
354080 Potirendaba;4648;229;4877
354085 Pracinha;16;1;17
354090 Pradópolis;10719;1408;12127
354100 Praia Grande;72764;9099;81863
354105 Pratânia;321;9;330
354110 Presidente Alves;301;31;332
354120 Presidente Bernardes;2395;105;2500
354130 Presidente Epitácio;6289;148;6437
354140 Presidente Prudente;71526;5404;76930
354150 Presidente Venceslau;7340;415;7755
354160 Promissão;7723;4523;12246
354165 Quadra;84;39;123
354170 Quatá;4021;38;4059
354180 Queiroz;41;1;42
354190 Queluz;1052;323;1375
354200 Quintana;1518;22;1540
354210 Rafard;2712;1164;3876
354220 Rancharia;4711;138;4849
354230 Redenção da Serra;200;55;255
354240 Regente Feijó;3615;87;3702
354250 Reginópolis;630;11;641
354260 Registro;10076;609;10685
354270 Restinga;1022;26;1048
354280 Ribeira;102;6;108
354290 Ribeirão Bonito;1591;186;1777
354300 Ribeirão Branco;379;126;505
354310 Ribeirão Corrente;422;10;432
354320 Ribeirão do Sul;149;14;163
354323 Ribeirão dos Índios;145;4;149
354325 Ribeirão Grande;402;77;479
354330 Ribeirão Pires;56104;8730;64834
354340 Ribeirão Preto;222161;68687;290848
354360 Rifaina;681;8;689
354370 Rincão;3993;229;4222
354380 Rinópolis;458;17;475
354390 Rio Claro;76567;20579;97146
354400 Rio das Pedras;9256;4573;13829
354410 Rio Grande da Serra;13076;2295;15371
354420 Riolândia;554;55;609
354350 Riversul;100;23;123
354425 Rosana;1455;38;1493
354430 Roseira;1136;327;1463
354440 Rubiácea;58;0;58
354450 Rubinéia;141;10;151
354460 Sabino;1781;418;2199
354470 Sagres;115;4;119
354480 Sales;324;27;351
354490 Sales Oliveira;3951;176;4127
354500 Salesópolis;1761;190;1951
354510 Salmourão;77;5;82
354515 Saltinho;2197;467;2664
354520 Salto;32500;8626;41126
354530 Salto de Pirapora;6941;1583;8524
354540 Salto Grande;451;1778;2229
354550 Sandovalina;777;8;785
354560 Santa Adélia;3322;119;3441
354570 Santa Albertina;543;31;574
354580 Santa Bárbara d'Oeste;66712;10631;77343
354600 Santa Branca;2804;1358;4162
354610 Santa Clara d'Oeste;64;2;66
354620 Santa Cruz da Conceição;572;57;629
354625 Santa Cruz da Esperança;114;1;115
354630 Santa Cruz das Palmeiras;4492;80;4572
354640 Santa Cruz do Rio Pardo;6771;288;7059
354650 Santa Ernestina;1976;56;2032
354660 Santa Fé do Sul;3723;279;4002
354670 Santa Gertrudes;6521;1041;7562
354680 Santa Isabel;6871;899;7770
354690 Santa Lúcia;3578;149;3727
354700 Santa Maria da Serra;396;94;490
354710 Santa Mercedes;106;6;112
354740 Santa Rita d'Oeste;44;9;53
354750 Santa Rita do Passa Quatro;9946;140;10086
354760 Santa Rosa de Viterbo;6856;657;7513
354765 Santa Salete;132;12;144
354720 Santana da Ponte Pensa;55;13;68
354730 Santana de Parnaíba;43383;20499;63882
354770 Santo Anastácio;3779;77;3856
354780 Santo André;395829;79904;475733
354790 Santo Antônio da Alegria;269;7;276
354800 Santo Antônio de Posse;2244;675;2919
354805 Santo Antônio do Aracanguá;132;8;140
354810 Santo Antônio do Jardim;1038;37;1075
354820 Santo Antônio do Pinhal;387;62;449
354830 Santo Expedito;379;20;399
354840 Santópolis do Aguapeí;113;5;118
354850 Santos;275364;39396;314760
354860 São Bento do Sapucaí;525;327;852
354870 São Bernardo do Campo;432852;88692;521544
354880 São Caetano do Sul;160136;14396;174532
354890 São Carlos;85477;23234;108711
354900 São Francisco;426;147;573
354910 São João da Boa Vista;28733;6454;35187
354920 São João das Duas Pontes;98;84;182
354925 São João de Iracema;152;1;153
354930 São João do Pau d'Alho;45;1;46
354940 São Joaquim da Barra;22713;892;23605
354950 São José da Bela Vista;1517;13;1530
354960 São José do Barreiro;273;27;300
354970 São José do Rio Pardo;17991;5053;23044
354980 São José do Rio Preto;168895;28321;197216
354990 São José dos Campos;314113;96784;410897
354995 São Lourenço da Serra;3350;1060;4410
355000 São Luís do Paraitinga;871;131;1002
355010 São Manuel;12395;930;13325
355020 São Miguel Arcanjo;1582;114;1696
355030 São Paulo;6204713;1563519;7768232
355040 São Pedro;7219;2796;10015
355050 São Pedro do Turvo;12591;56;12647
355060 São Roque;24279;2717;26996
355070 São Sebastião;13941;3165;17106
355080 São Sebastião da Grama;1304;282;1586
355090 São Simão;2891;346;3237
355100 São Vicente;117468;14374;131842
355110 Sarapuí;384;23;407
355120 Sarutaiá;137;10;147
355130 Sebastianópolis do Sul;1442;33;1475
355140 Serra Azul;1328;201;1529
355160 Serra Negra;4739;288;5027
355150 Serrana;12031;4839;16870
355170 Sertãozinho;56589;23582;80171
355180 Sete Barras;753;17;770
355190 Severínia;2922;39;2961
355200 Silveiras;322;41;363
355210 Socorro;4526;673;5199
355220 Sorocaba;250038;55038;305076
355230 Sud Mennucci;315;24;339
355240 Sumaré;75450;20080;95530
355255 Suzanápolis;341;9;350
355250 Suzano;78296;14964;93260
355260 Tabapuã;2804;234;3038
355270 Tabatinga;2673;113;2786
355280 Taboão da Serra;76817;14834;91651
355290 Taciba;660;95;755
355300 Taguaí;188;25;213
355310 Taiaçu;1184;29;1213
355320 Taiúva;1694;154;1848
355330 Tambaú;4791;55;4846
355340 Tanabi;5178;488;5666
355350 Tapiraí;205;48;253
355360 Tapiratiba;1980;106;2086
355365 Taquaral;497;37;534
355370 Taquaritinga;13242;2801;16043
355380 Taquarituba;821;119;940
355385 Taquarivaí;99;32;131
355390 Tarabai;741;22;763
355395 Tarumã;529;21;550
355400 Tatuí;28950;11137;40087
355410 Taubaté;101010;23581;124591
355420 Tejupá;56;11;67
355430 Teodoro Sampaio;1982;84;2066
355440 Terra Roxa;1403;162;1565
355450 Tietê;12083;6252;18335
355460 Timburi;58;8;66
355465 Torre de Pedra;72;8;80
355470 Torrinha;463;31;494
355475 Trabiju;228;9;237
355480 Tremembé;8656;2483;11139
355490 Três Fronteiras;253;29;282
355495 Tuiuti;673;40;713
355500 Tupã;11549;1277;12826
355510 Tupi Paulista;1930;24;1954
355520 Turiúba;475;18;493
355530 Turmalina;107;18;125
355535 Ubarana;456;60;516
355540 Ubatuba;11238;1101;12339
355550 Ubirajara;148;9;157
355560 Uchoa;2874;188;3062
355570 União Paulista;108;8;116
355580 Urânia;627;101;728
355590 Uru;141;2;143
355600 Urupês;2280;97;2377
355610 Valentim Gentil;849;101;950
355620 Valinhos;52321;14326;66647
355630 Valparaíso;1658;391;2049
355635 Vargem;1350;56;1406
355640 Vargem Grande do Sul;8253;226;8479
355645 Vargem Grande Paulista;10170;1379;11549
355650 Várzea Paulista;43286;5709;48995
355660 Vera Cruz;1050;105;1155
355670 Vinhedo;37215;11037;48252
355680 Viradouro;6268;1379;7647
355690 Vista Alegre do Alto;941;20;961
355695 Vitória Brasil;43;5;48
355700 Votorantim;39776;7449;47225
355710 Votuporanga;24505;7328;31833
355715 Zacarias;206;29;235
350000 Município ignorado - SP;149549;586527;736076
410010 Abatiá;497;22;519
410020 Adrianópolis;79;10;89
410030 Agudos do Sul;169;18;187
410040 Almirante Tamandaré;9968;2030;11998
410045 Altamira do Paraná;136;5;141
412862 Alto Paraíso;42;2;44
410060 Alto Paraná;788;20;808
410070 Alto Piquiri;205;23;228
410050 Altônia;954;40;994
410080 Alvorada do Sul;745;19;764
410090 Amaporã;128;12;140
410100 Ampére;386;10;396
410105 Anahy;90;3;93
410110 Andirá;1350;177;1527
410115 Ângulo;112;1;113
410120 Antonina;1688;119;1807
410130 Antônio Olinto;90;2;92
410140 Apucarana;13750;692;14442
410150 Arapongas;12058;1042;13100
410160 Arapoti;3046;152;3198
410165 Arapuã;79;0;79
410170 Araruna;604;23;627
410180 Araucária;41101;10905;52006
410185 Ariranha do Ivaí;32;1;33
410190 Assaí;2753;250;3003
410200 Assis Chateaubriand;4061;81;4142
410210 Astorga;5300;90;5390
410220 Atalaia;488;40;528
410230 Balsa Nova;913;725;1638
410240 Bandeirantes;2728;44;2772
410250 Barbosa Ferraz;572;24;596
410270 Barra do Jacaré;101;12;113
410260 Barracão;488;21;509
410275 Bela Vista da Caroba;25;0;25
410280 Bela Vista do Paraíso;2816;62;2878
410290 Bituruna;278;19;297
410300 Boa Esperança;546;12;558
410302 Boa Esperança do Iguaçu;30;1;31
410304 Boa Ventura de São Roque;207;1;208
410305 Boa Vista da Aparecida;191;13;204
410310 Bocaiúva do Sul;589;47;636
410315 Bom Jesus do Sul;14;0;14
410320 Bom Sucesso;148;3;151
410322 Bom Sucesso do Sul;76;5;81
410330 Borrazópolis;246;9;255
410335 Braganey;358;20;378
410337 Brasilândia do Sul;55;5;60
410340 Cafeara;127;4;131
410345 Cafelândia;1563;687;2250
410347 Cafezal do Sul;47;1;48
410350 Califórnia;287;26;313
410360 Cambará;1963;57;2020
410370 Cambé;17009;3412;20421
410380 Cambira;348;11;359
410390 Campina da Lagoa;1177;28;1205
410395 Campina do Simão;11;0;11
410400 Campina Grande do Sul;4633;1238;5871
410405 Campo Bonito;34;7;41
410410 Campo do Tenente;119;5;124
410420 Campo Largo;19291;4496;23787
410425 Campo Magro;2392;567;2959
410430 Campo Mourão;16566;4602;21168
410440 Cândido de Abreu;211;12;223
410442 Candói;369;23;392
410445 Cantagalo;250;21;271
410450 Capanema;851;32;883
410460 Capitão Leônidas Marques;792;13;805
410465 Carambeí;9240;420;9660
410470 Carlópolis;434;23;457
410480 Cascavel;54198;4612;58810
410490 Castro;6236;1101;7337
410500 Catanduvas;369;20;389
410510 Centenário do Sul;771;33;804
410520 Cerro Azul;229;37;266
410530 Céu Azul;1535;27;1562
410540 Chopinzinho;672;18;690
410550 Cianorte;9979;338;10317
410560 Cidade Gaúcha;3640;25;3665
410570 Clevelândia;1098;35;1133
410580 Colombo;28550;7541;36091
410590 Colorado;1821;54;1875
410600 Congonhinhas;102;1;103
410610 Conselheiro Mairinck;124;2;126
410620 Contenda;1061;218;1279
410630 Corbélia;1544;142;1686
410640 Cornélio Procópio;9195;233;9428
410645 Coronel Domingos Soares;66;3;69
410650 Coronel Vivida;2593;16;2609
410655 Corumbataí do Sul;65;3;68
410680 Cruz Machado;139;17;156
410657 Cruzeiro do Iguaçu;161;4;165
410660 Cruzeiro do Oeste;1713;44;1757
410670 Cruzeiro do Sul;149;11;160
410685 Cruzmaltina;24;0;24
410690 Curitiba;827493;358086;1185579
410700 Curiúva;233;17;250
410715 Diamante D'Oeste;125;8;133
410710 Diamante do Norte;338;16;354
410712 Diamante do Sul;14;1;15
410720 Dois Vizinhos;6003;112;6115
410725 Douradina;2388;107;2495
410730 Doutor Camargo;846;55;901
412863 Doutor Ulysses;62;1;63
410740 Enéas Marques;144;9;153
